analysis        sr      o       b       db      s              ds             s95obs  s95exp  robscons       rexpcons       
cms_sus_16_039  SR_I04  5.0     2.9     0.9     0.0            3.59014338239  7.7     5.6     0              0              
cms_sus_16_039  SR_J01  29.0    30.0    7.0     0.0            3.59014338239  16.3    17.2    0              0              
cms_sus_16_039  SR_J02  5.0     5.7     1.7     0.0            3.59014338239  6.2     6.7     0              0              
cms_sus_16_039  SR_J03  1.0     0.9     0.5     0.0            3.59014338239  3.7     3.4     0              0              
cms_sus_16_039  SR_J04  0.001   0.63    0.32    0.0            3.59014338239  3.05    2.95    0              0              
cms_sus_16_039  SR_K01  30.0    24.0    8.0     0.0            3.59014338239  22.3    19.1    0              0              
cms_sus_16_039  SR_K02  1.0     0.07    0.13    0.0            3.59014338239  4.02    3.06    0              0              
cms_sus_16_039  SR_K03  0.001   0.6     0.4     1363.12        1369.9189286   3.1     2.9     0              0              
cms_sus_16_039  SS01    1193.0  1430.0  180.0   0.0            3.59014338239  185.6   267.0   0              0              
cms_sus_16_039  SS02    50.0    56.0    9.0     0.0            3.59014338239  17.5    21.7    0              0              
cms_sus_16_039  SS03    25.0    36.0    7.0     0.0            3.59014338239  10.1    15.8    0              0              
cms_sus_16_039  SS04    7.0     5.9     1.2     0.0            3.59014338239  7.9     6.7     0              0              
cms_sus_16_039  SS05    2.0     4.5     3.5     0.0            3.59014338239  4.5     5.8     0              0              
cms_sus_16_039  SS06    143.0   163.0   19.0    0.0            3.59014338239  29.5    40.9    0              0              
cms_sus_16_039  SS07    41.0    38.0    6.0     0.0            3.59014338239  19.6    17.4    0              0              
cms_sus_16_039  SS08    24.0    23.0    4.0     0.0            3.59014338239  13.6    13.1    0              0              
cms_sus_16_039  SS09    11.0    14.4    3.2     0.0            3.59014338239  7.6     9.9     0              0              
cms_sus_16_039  SS10    6.0     6.3     0.9     0.0            3.59014338239  6.3     6.6     0              0              
cms_sus_16_039  SS11    67.0    82.0    12.0    0.0            3.59014338239  18.3    25.8    0              0              
cms_sus_16_039  SS12    19.0    27.0    4.0     0.0            3.59014338239  8.2     12.5    0              0              
cms_sus_16_039  SS13    18.0    18.0    4.0     0.0            3.59014338239  11.9    11.9    0              0              
cms_sus_16_039  SS14    9.0     5.0     0.8     0.0            3.59014338239  10.4    6.2     0              0              
cms_sus_16_039  SS15    3.0     5.1     2.6     0.0            3.59014338239  5.0     6.3     0              0              
cms_sus_16_039  SS16    591.0   603.0   80.0    0.0            3.59014338239  136.5   145.7   0              0              
cms_sus_16_039  SS17    116.0   98.0    14.0    0.0            3.59014338239  47.8    34.2    0              0              
cms_sus_16_039  SS18    69.0    66.0    10.0    0.0            3.59014338239  26.8    24.8    0              0              
cms_sus_16_039  SS19    43.0    33.0    6.0     0.0            3.59014338239  26.1    18.3    0              0              
cms_sus_16_039  SS20    13.0    11.4    1.7     0.0            3.59014338239  10.2    8.9     0              0              
cms_sus_16_039  SS21    232.0   264.0   31.0    0.0            3.59014338239  42.9    58.0    0              0              
cms_sus_16_039  SS22    52.0    51.0    7.0     0.0            3.59014338239  20.5    19.8    0              0              
cms_sus_16_039  SS23    35.0    31.0    4.0     0.0            3.59014338239  17.7    14.4    0              0              
cms_sus_16_039  SS24    28.0    29.0    5.0     0.0            3.59014338239  14.2    14.6    0              0              
cms_sus_16_039  SS25    27.0    22.2    3.4     0.0            3.59014338239  16.6    12.9    0              0              
cms_sus_16_039  SS26    49.0    44.0    7.0     0.0            3.59014338239  23.2    19.8    0              0              
cms_sus_16_039  SS27    18.0    16.4    2.9     0.0            3.59014338239  12.1    11.1    0              0              
cms_sus_16_039  SS28    13.0    10.7    1.9     0.0            3.59014338239  10.6    8.9     0              0              
cms_sus_16_039  SS29    9.0     6.7     1.1     0.0            3.59014338239  9.1     7.0     0              0              
cms_sus_16_039  SS30    7.0     3.9     0.8     0.0            3.59014338239  8.9     6.0     0              0              
